# calib_k_100 snapshot
# generated_at: 2026-07-22T19:07:50+09:00
# git_commit: c4d7d1e
# public_data_mock: True
# ingest_counts: {"child_zones": 92, "accident_hotspots": 85, "crime_grid": 3, "guardian_houses": 116, "streetlights": 0, "speed_cameras": 370}
# ingest_mock_flags: {"child_zones": false, "accident_hotspots": false, "crime_grid": true, "guardian_houses": false, "streetlights": true, "speed_cameras": false}
# streetlights_forced_empty: True
# light_density_source: ansim_305_only
# n_pairs_requested: 100
# search_option: 4
# rng_seed: 42
# ok=86 backtrack=14 fail=0
route_id,origin_lat,origin_lng,dest_lat,dest_lng,zone_name,length_km,sf_cctv_cnt,sf_light_cnt,sf_emerg_cnt,zone_cctv,coverage,guardian_cnt,camera_cnt,accident_cnt,doc_risk_cnt,score,status
calib-071,37.525486,127.0357312,37.5221207,127.0401134,청담어린이집,0.801,0,0,0,3,0.539,0,2,0,0,64.24304761904763,ok
calib-072,37.4985599,127.0431667,37.497106,127.035679,역삼어린이집,0.987,0,1,0,1,0.167,1,0,0,0,59.87259414000902,ok
calib-073,37.4898457,127.0296881,37.490733,127.0385091,선우어린이집,0.989,0,2,0,1,0.177,0,0,0,0,55.99117425522272,ok
calib-074,37.484501,127.1040954,37.486135,127.099054,수서어린이집,0.694,0,0,0,3,0.277,0,0,2,0,44.05104761904762,ok
calib-075,37.4769012,127.06731,37.483221,127.078254,일원어린이집,2.126,0,0,0,2,0.131,0,0,1,0,43.156,ok
calib-076,37.5177241,127.0313968,37.523923,127.0322635,압구정어린이집,0.969,1,1,1,1,0.239,0,2,0,0,63.30563828068523,ok
calib-077,37.5110137,127.0558153,37.5104322,127.051243,GKL행복어린이집,0.523,2,8,3,5,0.674,1,0,0,0,90.53832972546708,ok
calib-078,37.5247343,127.0320085,37.5293482,127.0356146,압구정아람어린이집,0.896,0,0,0,5,0.479,0,4,0,0,65.11854545454545,ok
calib-079,37.4743698,127.0591484,37.4735224,127.0535087,예지어린이집,0.797,,,,,,,,,,,backtrack
calib-080,37.4676991,127.1014811,37.4699202,127.104503,방죽어린이집,0.42,1,1,1,1,0.377,0,0,0,0,68.07234290582736,ok
calib-081,37.4773273,127.0966204,37.4735608,127.0998275,푸른어린이집,2.583,,,,,,,,,,,backtrack
calib-082,37.5340097,127.0415462,37.525305,127.036309,바롬어린이집,1.497,,,,,,,,,,,backtrack
calib-083,37.4925578,127.0396413,37.494809,127.044725,역삼가애어린이집,0.633,0,1,1,3,0.312,0,1,0,0,63.39101067172653,ok
calib-084,37.4938363,127.0876353,37.490853,127.083513,대청어린이집,0.637,2,14,9,12,0.588,0,1,1,0,77.82182673955467,ok
calib-085,37.4960736,127.0320338,37.5053269,127.0376163,충현어린이집,1.73,3,9,2,11,0.131,1,5,0,0,75.1182073506218,ok
calib-086,37.4767868,127.1044799,37.4753805,127.1124974,세곡햇빛어린이집,1.197,0,0,0,14,0.505,0,1,1,0,57.07999999999999,ok
calib-087,37.4992802,127.0718196,37.495907,127.0609998,한울어린이집,1.7,0,0,0,25,0.45,0,2,2,0,53.835944700460836,ok
calib-088,37.4808636,127.0863002,37.4840209,127.0844599,미담어린이집,0.515,0,0,0,6,0.501,0,0,0,0,63.016,ok
calib-089,37.5040397,127.0534297,37.5100283,127.0518427,아이앤어린이집,0.995,2,9,3,3,0.417,1,2,0,0,80.62177343780112,ok
calib-090,37.4904071,127.0517451,37.494385,127.06134,보람어린이집,1.125,0,0,0,17,0.243,1,4,2,0,54.93922582170104,ok
calib-091,37.5057676,127.0626788,37.4970884,127.0548958,대치동학원가,1.79,1,2,2,25,0.4,0,11,1,0,62.99566947416876,ok
calib-092,37.4859742,127.0772188,37.4891403,127.0708698,돌샘유치원,1.888,,,,,,,,,,,backtrack
calib-093,37.4958326,127.0872728,37.495751,127.075096,이화유치원,1.539,,,,,,,,,,,backtrack
calib-094,37.513565,127.0551302,37.517579,127.053437,영동제일유치원,0.743,3,8,4,7,0.492,0,2,0,0,83.10788443752354,ok
calib-095,37.4963182,127.0662954,37.4974074,127.058723,묘동유치원,1.157,0,0,0,23,0.558,0,5,3,0,53.9359575596817,ok
calib-096,37.4889752,127.0783456,37.4847981,127.0811005,푸른유치원,1.529,,,,,,,,,,,backtrack
calib-097,37.5303155,127.0421552,37.5262731,127.0482112,성요셉유치원,0.93,0,0,0,11,0.391,0,1,0,0,64.32658823529411,ok
calib-098,37.4946962,127.1010006,37.4879098,127.0981867,반디유치원,2.012,0,0,0,9,0.23,0,0,3,0,43.013333333333335,ok
calib-099,37.4814591,127.0369375,37.475915,127.048578,초원유치원,1.943,0,1,1,3,0.076,0,1,0,0,57.13477483266022,ok
